Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
49,Entry short,2025-08-05 15:15:00,Short,113211.2,0.105143,11903.3652016,-159.7,-1.34,61.35,0.52,-154.87,-1.3,-2653.81,-26.54
50,Exit short,2025-08-06 15:45:00,SL,114638.9,0.105143,11903.3652016,-159.7,-1.34,61.35,0.52,-154.87,-1.3,-2808.74,-28.09
50,Entry short,2025-08-05 15:15:00,Short,113211.2,0.105143,11903.3652016,-159.7,-1.34,61.35,0.52,-154.87,-1.3,-2808.74,-28.09
51,Exit short,2025-08-07 09:00:00,SL,114913.3,0.218705,24999.8404925,-152.33,-0.61,0,0,-142.27,-0.57,-2971.07,-29.71
51,Entry short,2025-08-07 06:00:00,Short,114308.5,0.218705,24999.8404925,-152.33,-0.61,0,0,-142.27,-0.57,-2971.07,-29.71
52,Exit short,2025-08-07 09:00:00,SL,114913.3,0.218705,24999.8404925,-152.33,-0.61,0,0,-142.27,-0.57,-3113.39,-31.13
52,Entry short,2025-08-07 06:00:00,Short,114308.5,0.218705,24999.8404925,-152.33,-0.61,0,0,-142.27,-0.57,-3113.39,-31.13
53,Exit long,2025-08-08 16:00:00,TRAIL,116151.5,0.216539,25000.0555131,131.21,0.52,453.16,1.81,-16.04,-0.06,-2992.18,-29.92
53,Entry long,2025-08-07 11:00:00,Long,115452.9,0.216539,25000.0555131,131.21,0.52,453.16,1.81,-16.04,-0.06,-2992.18,-29.92
54,Exit long,2025-08-08 16:00:00,TRAIL,116151.5,0.216539,25000.0555131,131.21,0.52,453.16,1.81,-16.04,-0.06,-2850.97,-28.51
54,Entry long,2025-08-07 11:00:00,Long,115452.9,0.216539,25000.0555131,131.21,0.52,453.16,1.81,-16.04,-0.06,-2850.97,-28.51
55,Exit short,2025-08-09 10:00:00,SL,117218.6,0.151937,17659.6830911,-164.35,-0.93,50.72,0.29,-157.22,-0.89,-3022.38,-30.22
55,Entry short,2025-08-08 16:15:00,Short,116230.3,0.151937,17659.6830911,-164.35,-0.93,50.72,0.29,-157.22,-0.89,-3022.38,-30.22
56,Exit short,2025-08-09 10:00:00,SL,117218.6,0.151938,17659.799321399998,-164.35,-0.93,50.72,0.29,-157.22,-0.89,-3179.66,-31.8
56,Entry short,2025-08-08 16:15:00,Short,116230.3,0.151938,17659.799321399998,-164.35,-0.93,50.72,0.29,-157.22,-0.89,-3179.66,-31.8
57,Exit long,2025-08-10 06:15:00,BE,117951.6,0.212088,25000.021461599998,-3.91,-0.02,172.88,0.69,-89.68,-0.36,-3193.57,-31.94
57,Entry long,2025-08-10 04:00:00,Long,117875.7,0.212088,25000.021461599998,-3.91,-0.02,172.88,0.69,-89.68,-0.36,-3193.57,-31.94
58,Exit long,2025-08-10 06:15:00,BE,117951.6,0.212089,25000.1393373,-3.91,-0.02,172.88,0.69,-89.68,-0.36,-3187.48,-31.87
58,Entry long,2025-08-10 04:00:00,Long,117875.7,0.212089,25000.1393373,-3.91,-0.02,172.88,0.69,-89.68,-0.36,-3187.48,-31.87
59,Exit short,2025-08-12 17:00:00,SL,120160.4,0.101535,12050.37687,-159.81,-1.33,59.35,0.49,-154.93,-1.29,-3352.11,-33.52
59,Entry short,2025-08-11 21:00:00,Short,118682,0.101535,12050.37687,-159.81,-1.33,59.35,0.49,-154.93,-1.29,-3352.11,-33.52
60,Exit short,2025-08-12 17:00:00,SL,120160.4,0.101535,12050.37687,-159.81,-1.33,59.35,0.49,-154.93,-1.29,-3507.1,-35.07
60,Entry short,2025-08-11 21:00:00,Short,118682,0.101535,12050.37687,-159.81,-1.33,59.35,0.49,-154.93,-1.29,-3507.1,-35.07
61,Exit short,2025-08-13 11:00:00,SL,120221.1,0.13646,16255.224368000001,-163.21,-1,0,0,-156.65,-0.96,-3676.81,-36.77
61,Entry short,2025-08-13 07:15:00,Short,119120.8,0.13646,16255.224368000001,-163.21,-1,0,0,-156.65,-0.96,-3676.81,-36.77
