asset,timeframe,exists,path,bar_count,first_ts,last_ts,duplicate_count,missing_count,quality
LTCUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\1D\BINANCE_FUTURES_LTCUSDT_1D_20200109_20260427.csv,2301,2020-01-09 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
TRXUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\1D\BINANCE_FUTURES_TRXUSDT_1D_20200115_20260427.csv,2295,2020-01-15 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
APTUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\1D\BINANCE_FUTURES_APTUSDT_1D_20221019_20260427.csv,1287,2022-10-19 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
ARBUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\1D\BINANCE_FUTURES_ARBUSDT_1D_20230323_20260427.csv,1132,2023-03-23 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
NEARUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\1D\BINANCE_FUTURES_NEARUSDT_1D_20201015_20260427.csv,2021,2020-10-15 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
OPUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\1D\BINANCE_FUTURES_OPUSDT_1D_20220601_20260427.csv,1427,2022-06-01 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
POLUSDT,1D,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\1D\BINANCE_FUTURES_POLUSDT_1D_20240913_20260427.csv,592,2024-09-13 00:00:00+00:00,2026-04-27 00:00:00+00:00,0,0,PASS
BTCUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\4h\BINANCE_FUTURES_BTCUSDT_4h_20190908_20260413.csv,14454,2019-09-08 16:00:00+00:00,2026-04-13 12:00:00+00:00,0,0,PASS
ETHUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\4h\BINANCE_FUTURES_ETHUSDT_4h_20191127_20260427.csv,14061,2019-11-27 04:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
SOLUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\4h\BINANCE_FUTURES_SOLUSDT_4h_20200914_20260427.csv,12309,2020-09-14 04:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
BNBUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\4h\BINANCE_FUTURES_BNBUSDT_4h_20200210_20260427.csv,13610,2020-02-10 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
XRPUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\4h\BINANCE_FUTURES_XRPUSDT_4h_20200106_20260427.csv,13820,2020-01-06 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
ADAUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\4h\BINANCE_FUTURES_ADAUSDT_4h_20200131_20260427.csv,13670,2020-01-31 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
DOGEUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\4h\BINANCE_FUTURES_DOGEUSDT_4h_20200710_20260427.csv,12704,2020-07-10 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
AVAXUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\4h\BINANCE_FUTURES_AVAXUSDT_4h_20200923_20260427.csv,12255,2020-09-23 04:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
LINKUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\4h\BINANCE_FUTURES_LINKUSDT_4h_20200117_20260427.csv,13754,2020-01-17 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
DOTUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\4h\BINANCE_FUTURES_DOTUSDT_4h_20200822_20260427.csv,12447,2020-08-22 04:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
LTCUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\4h\BINANCE_FUTURES_LTCUSDT_4h_20200109_20260427.csv,13802,2020-01-09 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
TRXUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\4h\BINANCE_FUTURES_TRXUSDT_4h_20200115_20260427.csv,13766,2020-01-15 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
APTUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\4h\BINANCE_FUTURES_APTUSDT_4h_20221019_20260427.csv,7720,2022-10-19 00:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
ARBUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\4h\BINANCE_FUTURES_ARBUSDT_4h_20230323_20260427.csv,6787,2023-03-23 12:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
NEARUSDT,4h,True,C:\LAB\tradingview-lab\MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\4h\BINANCE_FUTURES_NEARUSDT_4h_20201015_20260427.csv,12122,2020-10-15 08:00:00+00:00,2026-04-27 12:00:00+00:00,0,0,PASS
