Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
77,Exit short,2025-08-01 01:45:00,TP1,115056.4,0.152108,17950.9343552,435.75,2.43,442.76,2.47,-143.41,-0.8,-4362.88,-43.63
77,Entry short,2025-07-31 01:15:00,Short,118014.4,0.152108,17950.9343552,435.75,2.43,442.76,2.47,-143.41,-0.8,-4362.88,-43.63
78,Exit short,2025-08-02 18:45:00,TP2,112591.1,0.152108,17950.9343552,810.9,4.52,817.75,4.55,-143.41,-0.8,-3544.8,-35.45
78,Entry short,2025-07-31 01:15:00,Short,118014.4,0.152108,17950.9343552,810.9,4.52,817.75,4.55,-143.41,-0.8,-3544.8,-35.45
79,Exit short,2025-08-03 04:30:00,SL,113675.5,0.152198,17151.0252022,-163.94,-0.96,120.82,0.7,-157.02,-0.92,-3715.6,-37.16
79,Entry short,2025-08-02 18:45:00,Short,112688.9,0.152198,17151.0252022,-163.94,-0.96,120.82,0.7,-157.02,-0.92,-3715.6,-37.16
80,Exit short,2025-08-03 04:30:00,SL,113675.5,0.152199,17151.1378911,-163.94,-0.96,120.82,0.7,-157.02,-0.92,-3872.68,-38.73
80,Entry short,2025-08-02 18:45:00,Short,112688.9,0.152199,17151.1378911,-163.94,-0.96,120.82,0.7,-157.02,-0.92,-3872.68,-38.73
81,Exit long,2025-08-05 08:30:00,BE,113764.5,0.18924,21508.885932,2.69,0.01,374.93,1.74,-79.3,-0.37,-3878.59,-38.79
81,Entry long,2025-08-03 04:30:00,Long,113659.3,0.18924,21508.885932,2.69,0.01,374.93,1.74,-79.3,-0.37,-3878.59,-38.79
82,Exit long,2025-08-05 08:30:00,BE,113764.5,0.189241,21508.9995913,2.69,0.01,374.93,1.74,-79.3,-0.37,-3867.3,-38.67
82,Entry long,2025-08-03 04:30:00,Long,113659.3,0.189241,21508.9995913,2.69,0.01,374.93,1.74,-79.3,-0.37,-3867.3,-38.67
83,Exit short,2025-08-05 11:15:00,SL,114843.4,0.181176,20656.672934399998,-166.78,-0.81,17.99,0.09,-158.46,-0.77,-4042.34,-40.42
83,Entry short,2025-08-05 08:30:00,Short,114014.4,0.181176,20656.672934399998,-166.78,-0.81,17.99,0.09,-158.46,-0.77,-4042.34,-40.42
84,Exit short,2025-08-05 11:15:00,SL,114843.4,0.181176,20656.672934399998,-166.78,-0.81,17.99,0.09,-158.46,-0.77,-4200.86,-42.01
84,Entry short,2025-08-05 08:30:00,Short,114014.4,0.181176,20656.672934399998,-166.78,-0.81,17.99,0.09,-158.46,-0.77,-4200.86,-42.01
85,Exit long,2025-08-05 13:30:00,SL,113950.5,0.206879,23774.1829857,-219.16,-0.92,19.18,0.08,-209.73,-0.88,-4429.52,-44.3
85,Entry long,2025-08-05 11:15:00,Long,114918.3,0.206879,23774.1829857,-219.16,-0.92,19.18,0.08,-209.73,-0.88,-4429.52,-44.3
86,Exit long,2025-08-05 13:30:00,SL,113950.5,0.206879,23774.1829857,-219.16,-0.92,19.18,0.08,-209.73,-0.88,-4639.17,-46.39
86,Entry long,2025-08-05 11:15:00,Long,114918.3,0.206879,23774.1829857,-219.16,-0.92,19.18,0.08,-209.73,-0.88,-4639.17,-46.39
